Client_ID,Status,Days_To_First_Engagement,Days_To_First_Engagement_Num,Completed_Flag,Churned_Flag,Checkin_Rate_Pct,Goal_Achieved,Goal_Achieved_Flag,Engagement_Threshold_Group
C0046,Completed,7,7,1,0,92.9,Yes,1,Did Not Engage Within 3 Days
C0047,Completed,0,0,1,0,85.7,Yes,1,Engaged Within 3 Days
C0048,Completed,7,7,1,0,85.7,Partial,1,Did Not Engage Within 3 Days
C0049,Completed,0,0,1,0,85.7,Yes,1,Engaged Within 3 Days
C0050,Completed,3,3,1,0,78.6,Yes,1,Engaged Within 3 Days
C0051,Ghost,999,999,0,1,0.0,No,0,Did Not Engage Within 3 Days
C0052,Completed,1,1,1,0,78.6,Yes,1,Engaged Within 3 Days
C0053,Ghost,999,999,0,1,0.0,No,0,Did Not Engage Within 3 Days
C0054,Completed,0,0,1,0,85.7,Yes,1,Engaged Within 3 Days
C0055,Completed,5,5,1,0,78.6,Partial,1,Did Not Engage Within 3 Days
C0056,Ghost,999,999,0,1,7.1,No,0,Did Not Engage Within 3 Days
C0057,Completed,3,3,1,0,85.7,Yes,1,Engaged Within 3 Days
C0058,Completed,0,0,1,0,78.6,Yes,1,Engaged Within 3 Days
C0059,Completed,2,2,1,0,100.0,Partial,1,Engaged Within 3 Days
C0060,Completed,0,0,1,0,92.9,Partial,1,Engaged Within 3 Days
C0061,Completed,0,0,1,0,92.9,Partial,1,Engaged Within 3 Days
C0062,Completed,0,0,1,0,78.6,Yes,1,Engaged Within 3 Days
C0063,Ghost,3,3,0,1,7.1,No,0,Engaged Within 3 Days
C0064,Completed,0,0,1,0,78.6,Yes,1,Engaged Within 3 Days
C0065,Completed,2,2,1,0,92.9,Partial,1,Engaged Within 3 Days
C0066,Quit,3,3,0,1,7.1,No,0,Engaged Within 3 Days
C0067,Quit,1,1,0,1,21.4,No,0,Engaged Within 3 Days
C0068,Completed,2,2,1,0,78.6,Partial,1,Engaged Within 3 Days
C0069,Completed,3,3,1,0,92.9,Yes,1,Engaged Within 3 Days
C0070,Completed,2,2,1,0,78.6,Yes,1,Engaged Within 3 Days
C0071,Completed,3,3,1,0,92.9,Yes,1,Engaged Within 3 Days
C0072,Completed,5,5,1,0,100.0,Yes,1,Did Not Engage Within 3 Days
C0073,Ghost,999,999,0,1,0.0,No,0,Did Not Engage Within 3 Days
C0074,Ghost,999,999,0,1,0.0,No,0,Did Not Engage Within 3 Days
C0075,Completed,0,0,1,0,100.0,Yes,1,Engaged Within 3 Days
C0076,Completed,5,5,1,0,85.7,Partial,1,Did Not Engage Within 3 Days
C0077,Inactive,0,0,0,1,35.7,Ongoing,0,Engaged Within 3 Days
C0078,Completed,7,7,1,0,92.9,Yes,1,Did Not Engage Within 3 Days
C0079,Completed,7,7,1,0,92.9,Yes,1,Did Not Engage Within 3 Days
C0080,Completed,1,1,1,0,100.0,Yes,1,Engaged Within 3 Days
C0081,Completed,2,2,1,0,78.6,Partial,1,Engaged Within 3 Days
C0082,Completed,2,2,1,0,92.9,Yes,1,Engaged Within 3 Days
C0083,Completed,0,0,1,0,92.9,Partial,1,Engaged Within 3 Days
C0084,Completed,0,0,1,0,85.7,Yes,1,Engaged Within 3 Days
C0085,Completed,5,5,1,0,92.9,Partial,1,Did Not Engage Within 3 Days
C0086,Completed,0,0,1,0,85.7,Yes,1,Engaged Within 3 Days
C0087,Completed,3,3,1,0,100.0,Partial,1,Engaged Within 3 Days
C0088,Completed,0,0,1,0,100.0,Partial,1,Engaged Within 3 Days
C0089,Completed,3,3,1,0,100.0,Yes,1,Engaged Within 3 Days
C0090,Completed,1,1,1,0,85.7,Partial,1,Engaged Within 3 Days
C0091,Completed,3,3,1,0,100.0,Partial,1,Engaged Within 3 Days
C0092,Completed,5,5,1,0,100.0,Partial,1,Did Not Engage Within 3 Days
C0093,Completed,1,1,1,0,100.0,Yes,1,Engaged Within 3 Days
C0094,Completed,2,2,1,0,85.7,Yes,1,Engaged Within 3 Days
C0095,Completed,1,1,1,0,78.6,Yes,1,Engaged Within 3 Days
C0096,Completed,0,0,1,0,92.9,Yes,1,Engaged Within 3 Days
C0097,Completed,7,7,1,0,92.9,Yes,1,Did Not Engage Within 3 Days
C0098,Completed,1,1,1,0,100.0,Yes,1,Engaged Within 3 Days
C0099,Completed,0,0,1,0,92.9,Partial,1,Engaged Within 3 Days
C0100,Completed,5,5,1,0,100.0,Partial,1,Did Not Engage Within 3 Days
C0101,Completed,0,0,1,0,92.9,Partial,1,Engaged Within 3 Days
C0102,Completed,0,0,1,0,92.9,Partial,1,Engaged Within 3 Days
C0103,Quit,0,0,0,1,14.3,No,0,Engaged Within 3 Days
C0104,Completed,1,1,1,0,100.0,Yes,1,Engaged Within 3 Days
C0105,Completed,0,0,1,0,100.0,Yes,1,Engaged Within 3 Days
C0106,Completed,1,1,1,0,92.9,Yes,1,Engaged Within 3 Days
C0107,Completed,0,0,1,0,92.9,Yes,1,Engaged Within 3 Days
C0108,Completed,3,3,1,0,92.9,Yes,1,Engaged Within 3 Days
C0109,Completed,7,7,1,0,85.7,Yes,1,Did Not Engage Within 3 Days
C0110,Completed,3,3,1,0,92.9,Partial,1,Engaged Within 3 Days
C0111,Completed,3,3,1,0,85.7,Yes,1,Engaged Within 3 Days
C0112,Completed,0,0,1,0,92.9,Yes,1,Engaged Within 3 Days
C0113,Completed,0,0,1,0,78.6,Partial,1,Engaged Within 3 Days
C0114,Ghost,3,3,0,1,7.1,No,0,Engaged Within 3 Days
C0115,Completed,1,1,1,0,85.7,Partial,1,Engaged Within 3 Days
C0116,Inactive,0,0,0,1,21.4,Ongoing,0,Engaged Within 3 Days
C0117,Completed,7,7,1,0,92.9,Partial,1,Did Not Engage Within 3 Days
C0118,Completed,0,0,1,0,78.6,Partial,1,Engaged Within 3 Days
C0119,Completed,2,2,1,0,92.9,Partial,1,Engaged Within 3 Days
C0120,Completed,1,1,1,0,78.6,Yes,1,Engaged Within 3 Days
C0121,Completed,1,1,1,0,92.9,Yes,1,Engaged Within 3 Days
C0122,Ghost,2,2,0,1,7.1,No,0,Engaged Within 3 Days
C0123,Ghost,2,2,0,1,0.0,No,0,Engaged Within 3 Days
C0124,Completed,3,3,1,0,85.7,Partial,1,Engaged Within 3 Days
C0125,Ghost,0,0,0,1,7.1,No,0,Engaged Within 3 Days
C0126,Completed,5,5,1,0,85.7,Yes,1,Did Not Engage Within 3 Days
C0127,Completed,5,5,1,0,92.9,Partial,1,Did Not Engage Within 3 Days
C0128,Completed,5,5,1,0,78.6,Partial,1,Did Not Engage Within 3 Days
C0129,Completed,2,2,1,0,100.0,Yes,1,Engaged Within 3 Days
C0130,Completed,2,2,1,0,100.0,Yes,1,Engaged Within 3 Days
C0131,Completed,3,3,1,0,92.9,Yes,1,Engaged Within 3 Days
C0132,Completed,1,1,1,0,100.0,Yes,1,Engaged Within 3 Days
C0133,Completed,2,2,1,0,100.0,Yes,1,Engaged Within 3 Days
C0134,Completed,1,1,1,0,85.7,Yes,1,Engaged Within 3 Days
C0135,Completed,0,0,1,0,100.0,Partial,1,Engaged Within 3 Days
C0136,Ghost,2,2,0,1,7.1,No,0,Engaged Within 3 Days
C0137,Inactive,0,0,0,1,21.4,Ongoing,0,Engaged Within 3 Days
C0138,Completed,1,1,1,0,85.7,Yes,1,Engaged Within 3 Days
C0139,Completed,0,0,1,0,92.9,Yes,1,Engaged Within 3 Days
C0140,Completed,1,1,1,0,85.7,Partial,1,Engaged Within 3 Days
C0141,Completed,0,0,1,0,92.9,Yes,1,Engaged Within 3 Days
C0142,Completed,3,3,1,0,78.6,Yes,1,Engaged Within 3 Days
C0143,Completed,2,2,1,0,78.6,Yes,1,Engaged Within 3 Days
C0144,Completed,0,0,1,0,85.7,Yes,1,Engaged Within 3 Days
C0145,Completed,2,2,1,0,85.7,Yes,1,Engaged Within 3 Days
C0146,Completed,2,2,1,0,78.6,Partial,1,Engaged Within 3 Days
C0147,Completed,3,3,1,0,92.9,Yes,1,Engaged Within 3 Days
C0148,Completed,0,0,1,0,92.9,Partial,1,Engaged Within 3 Days
C0149,Completed,7,7,1,0,78.6,Yes,1,Did Not Engage Within 3 Days
C0150,Completed,2,2,1,0,100.0,Yes,1,Engaged Within 3 Days
C0151,Completed,0,0,1,0,85.7,Yes,1,Engaged Within 3 Days
C0152,Completed,2,2,1,0,85.7,Partial,1,Engaged Within 3 Days
C0153,Completed,1,1,1,0,92.9,Partial,1,Engaged Within 3 Days
C0154,Completed,1,1,1,0,92.9,Partial,1,Engaged Within 3 Days
C0155,Completed,2,2,1,0,85.7,Yes,1,Engaged Within 3 Days
C0156,Completed,5,5,1,0,92.9,Yes,1,Did Not Engage Within 3 Days
C0157,Completed,0,0,1,0,100.0,Yes,1,Engaged Within 3 Days
C0158,Completed,0,0,1,0,92.9,Partial,1,Engaged Within 3 Days
C0159,Inactive,5,5,0,1,21.4,Ongoing,0,Did Not Engage Within 3 Days
C0160,Completed,1,1,1,0,92.9,Yes,1,Engaged Within 3 Days
C0161,Completed,0,0,1,0,100.0,Yes,1,Engaged Within 3 Days
C0162,Completed,5,5,1,0,78.6,Partial,1,Did Not Engage Within 3 Days
C0163,Completed,0,0,1,0,100.0,Yes,1,Engaged Within 3 Days
C0164,Completed,0,0,1,0,78.6,Yes,1,Engaged Within 3 Days
C0165,Completed,5,5,1,0,100.0,Yes,1,Did Not Engage Within 3 Days
C0166,Completed,7,7,1,0,100.0,Partial,1,Did Not Engage Within 3 Days
C0167,Completed,0,0,1,0,85.7,Partial,1,Engaged Within 3 Days
C0168,Inactive,2,2,0,1,21.4,Ongoing,0,Engaged Within 3 Days
C0169,Completed,0,0,1,0,78.6,Partial,1,Engaged Within 3 Days
C0170,Inactive,5,5,0,1,14.3,Ongoing,0,Did Not Engage Within 3 Days
C0171,Inactive,0,0,0,1,21.4,Ongoing,0,Engaged Within 3 Days
C0172,Inactive,1,1,0,1,35.7,Ongoing,0,Engaged Within 3 Days
C0173,Completed,0,0,1,0,85.7,Partial,1,Engaged Within 3 Days
C0174,Completed,5,5,1,0,100.0,Yes,1,Did Not Engage Within 3 Days
C0175,Completed,2,2,1,0,85.7,Yes,1,Engaged Within 3 Days
C0176,Completed,3,3,1,0,100.0,Partial,1,Engaged Within 3 Days
C0177,Inactive,1,1,0,1,14.3,Ongoing,0,Engaged Within 3 Days
C0178,Ghost,999,999,0,1,7.1,No,0,Did Not Engage Within 3 Days
C0179,Completed,1,1,1,0,85.7,Yes,1,Engaged Within 3 Days
C0180,Completed,7,7,1,0,100.0,Partial,1,Did Not Engage Within 3 Days
C0181,Completed,2,2,1,0,92.9,Yes,1,Engaged Within 3 Days
C0182,Completed,2,2,1,0,85.7,Yes,1,Engaged Within 3 Days
C0183,Quit,2,2,0,1,7.1,No,0,Engaged Within 3 Days
C0184,Completed,2,2,1,0,85.7,Partial,1,Engaged Within 3 Days
C0185,Inactive,5,5,0,1,21.4,Ongoing,0,Did Not Engage Within 3 Days
C0186,Completed,2,2,1,0,100.0,Yes,1,Engaged Within 3 Days
C0187,Completed,1,1,1,0,92.9,Yes,1,Engaged Within 3 Days
C0188,Completed,7,7,1,0,92.9,Yes,1,Did Not Engage Within 3 Days
C0189,Inactive,7,7,0,1,14.3,Ongoing,0,Did Not Engage Within 3 Days
C0190,Ghost,2,2,0,1,0.0,No,0,Engaged Within 3 Days
C0191,Completed,0,0,1,0,92.9,Yes,1,Engaged Within 3 Days
C0192,Completed,2,2,1,0,85.7,Partial,1,Engaged Within 3 Days
C0193,Completed,1,1,1,0,78.6,Yes,1,Engaged Within 3 Days
C0194,Completed,1,1,1,0,100.0,Partial,1,Engaged Within 3 Days
C0195,Completed,2,2,1,0,92.9,Partial,1,Engaged Within 3 Days
C0196,Completed,5,5,1,0,100.0,Yes,1,Did Not Engage Within 3 Days
C0197,Completed,3,3,1,0,78.6,Yes,1,Engaged Within 3 Days
C0198,Completed,7,7,1,0,92.9,Yes,1,Did Not Engage Within 3 Days
C0199,Inactive,7,7,0,1,21.4,Ongoing,0,Did Not Engage Within 3 Days
C0200,Completed,1,1,1,0,100.0,Yes,1,Engaged Within 3 Days
C0201,Completed,0,0,1,0,85.7,Partial,1,Engaged Within 3 Days
C0202,Completed,3,3,1,0,92.9,Partial,1,Engaged Within 3 Days
C0203,Completed,1,1,1,0,92.9,Partial,1,Engaged Within 3 Days
C0204,Completed,0,0,1,0,78.6,Partial,1,Engaged Within 3 Days
C0205,Inactive,7,7,0,1,28.6,Ongoing,0,Did Not Engage Within 3 Days
C0206,Completed,0,0,1,0,92.9,Yes,1,Engaged Within 3 Days
C0207,Completed,7,7,1,0,92.9,Yes,1,Did Not Engage Within 3 Days
C0208,Completed,2,2,1,0,100.0,Yes,1,Engaged Within 3 Days
C0209,Completed,3,3,1,0,78.6,Yes,1,Engaged Within 3 Days
C0210,Ghost,999,999,0,1,7.1,No,0,Did Not Engage Within 3 Days
C0211,Completed,2,2,1,0,92.9,Yes,1,Engaged Within 3 Days
C0212,Inactive,5,5,0,1,35.7,Ongoing,0,Did Not Engage Within 3 Days
C0213,Completed,0,0,1,0,85.7,Yes,1,Engaged Within 3 Days
C0214,Completed,2,2,1,0,92.9,Partial,1,Engaged Within 3 Days
C0215,Completed,0,0,1,0,100.0,Yes,1,Engaged Within 3 Days
C0216,Completed,3,3,1,0,100.0,Yes,1,Engaged Within 3 Days
C0217,Completed,0,0,1,0,85.7,Yes,1,Engaged Within 3 Days
C0218,Completed,0,0,1,0,100.0,Partial,1,Engaged Within 3 Days
C0219,Completed,2,2,1,0,78.6,Yes,1,Engaged Within 3 Days
C0220,Completed,3,3,1,0,100.0,Yes,1,Engaged Within 3 Days
C0221,Completed,1,1,1,0,85.7,Yes,1,Engaged Within 3 Days
C0222,Ghost,0,0,0,1,7.1,No,0,Engaged Within 3 Days
C0223,Completed,0,0,1,0,92.9,Partial,1,Engaged Within 3 Days
C0224,Inactive,2,2,0,1,21.4,Ongoing,0,Engaged Within 3 Days
C0225,Completed,0,0,1,0,100.0,Partial,1,Engaged Within 3 Days
C0226,Ghost,999,999,0,1,7.1,No,0,Did Not Engage Within 3 Days
C0227,Completed,0,0,1,0,92.9,Yes,1,Engaged Within 3 Days
C0228,Inactive,2,2,0,1,21.4,Ongoing,0,Engaged Within 3 Days
C0229,Completed,1,1,1,0,78.6,Partial,1,Engaged Within 3 Days
C0230,Completed,3,3,1,0,92.9,Yes,1,Engaged Within 3 Days
C0231,Completed,1,1,1,0,100.0,Yes,1,Engaged Within 3 Days
C0232,Completed,0,0,1,0,78.6,Partial,1,Engaged Within 3 Days
C0233,Completed,0,0,1,0,100.0,Partial,1,Engaged Within 3 Days
C0234,Ghost,0,0,0,1,0.0,No,0,Engaged Within 3 Days
C0235,Completed,0,0,1,0,100.0,Yes,1,Engaged Within 3 Days
C0236,Completed,7,7,1,0,100.0,Yes,1,Did Not Engage Within 3 Days
C0237,Completed,3,3,1,0,100.0,Yes,1,Engaged Within 3 Days
C0238,Ghost,999,999,0,1,0.0,No,0,Did Not Engage Within 3 Days
C0239,Completed,0,0,1,0,85.7,Yes,1,Engaged Within 3 Days
C0240,Completed,0,0,1,0,100.0,Yes,1,Engaged Within 3 Days
C0241,Completed,2,2,1,0,78.6,Partial,1,Engaged Within 3 Days
C0242,Completed,1,1,1,0,100.0,Yes,1,Engaged Within 3 Days
C0243,Completed,2,2,1,0,92.9,Yes,1,Engaged Within 3 Days
C0244,Completed,0,0,1,0,78.6,Yes,1,Engaged Within 3 Days
C0245,Completed,2,2,1,0,85.7,Yes,1,Engaged Within 3 Days
C0246,Completed,2,2,1,0,78.6,Yes,1,Engaged Within 3 Days
C0247,Completed,3,3,1,0,100.0,Yes,1,Engaged Within 3 Days
C0248,Completed,0,0,1,0,85.7,Partial,1,Engaged Within 3 Days
C0249,Completed,1,1,1,0,92.9,Partial,1,Engaged Within 3 Days
C0250,Inactive,1,1,0,1,35.7,Ongoing,0,Engaged Within 3 Days
C0251,Completed,1,1,1,0,92.9,Partial,1,Engaged Within 3 Days
C0252,Completed,1,1,1,0,100.0,Yes,1,Engaged Within 3 Days
C0253,Completed,1,1,1,0,85.7,Yes,1,Engaged Within 3 Days
C0254,Completed,2,2,1,0,100.0,Yes,1,Engaged Within 3 Days
C0255,Completed,0,0,1,0,85.7,Partial,1,Engaged Within 3 Days
C0256,Inactive,0,0,0,1,35.7,Ongoing,0,Engaged Within 3 Days
C0257,Completed,0,0,1,0,85.7,Yes,1,Engaged Within 3 Days
C0258,Completed,1,1,1,0,85.7,Partial,1,Engaged Within 3 Days
C0259,Completed,0,0,1,0,92.9,Partial,1,Engaged Within 3 Days
C0260,Completed,2,2,1,0,92.9,Partial,1,Engaged Within 3 Days
C0261,Completed,0,0,1,0,92.9,Yes,1,Engaged Within 3 Days
C0262,Ghost,999,999,0,1,7.1,No,0,Did Not Engage Within 3 Days
C0263,Completed,0,0,1,0,78.6,Partial,1,Engaged Within 3 Days
C0264,Completed,0,0,1,0,92.9,Partial,1,Engaged Within 3 Days
C0265,Completed,3,3,1,0,100.0,Yes,1,Engaged Within 3 Days
C0266,Completed,0,0,1,0,78.6,Partial,1,Engaged Within 3 Days
C0267,Completed,0,0,1,0,92.9,Partial,1,Engaged Within 3 Days
C0268,Completed,3,3,1,0,78.6,Partial,1,Engaged Within 3 Days
C0269,Completed,0,0,1,0,92.9,Partial,1,Engaged Within 3 Days
C0270,Ghost,1,1,0,1,0.0,No,0,Engaged Within 3 Days
C0271,Completed,0,0,1,0,100.0,Yes,1,Engaged Within 3 Days
C0272,Completed,1,1,1,0,92.9,Partial,1,Engaged Within 3 Days
C0273,Completed,0,0,1,0,85.7,Partial,1,Engaged Within 3 Days
C0274,Completed,2,2,1,0,100.0,Partial,1,Engaged Within 3 Days
C0275,Completed,7,7,1,0,100.0,Yes,1,Did Not Engage Within 3 Days
C0276,Completed,0,0,1,0,92.9,Yes,1,Engaged Within 3 Days
C0277,Completed,1,1,1,0,78.6,Partial,1,Engaged Within 3 Days
C0278,Completed,5,5,1,0,92.9,Yes,1,Did Not Engage Within 3 Days
C0279,Completed,5,5,1,0,78.6,Yes,1,Did Not Engage Within 3 Days
C0280,Completed,0,0,1,0,85.7,Partial,1,Engaged Within 3 Days
C0281,Completed,2,2,1,0,92.9,Yes,1,Engaged Within 3 Days
C0282,Completed,3,3,1,0,85.7,Partial,1,Engaged Within 3 Days
C0283,Completed,1,1,1,0,92.9,Yes,1,Engaged Within 3 Days
C0284,Completed,2,2,1,0,78.6,Yes,1,Engaged Within 3 Days
C0285,Ghost,0,0,0,1,0.0,No,0,Engaged Within 3 Days
C0286,Ghost,999,999,0,1,0.0,No,0,Did Not Engage Within 3 Days
C0287,Completed,0,0,1,0,100.0,Yes,1,Engaged Within 3 Days
C0288,Completed,5,5,1,0,78.6,Yes,1,Did Not Engage Within 3 Days
C0289,Completed,0,0,1,0,78.6,Partial,1,Engaged Within 3 Days
C0290,Inactive,0,0,0,1,14.3,Ongoing,0,Engaged Within 3 Days
C0291,Completed,0,0,1,0,100.0,Yes,1,Engaged Within 3 Days
C0292,Completed,2,2,1,0,100.0,Partial,1,Engaged Within 3 Days
C0293,Ghost,999,999,0,1,7.1,No,0,Did Not Engage Within 3 Days
C0294,Completed,5,5,1,0,78.6,Partial,1,Did Not Engage Within 3 Days
C0295,Completed,1,1,1,0,92.9,Yes,1,Engaged Within 3 Days
C0296,Inactive,7,7,0,1,21.4,Ongoing,0,Did Not Engage Within 3 Days
C0297,Completed,3,3,1,0,92.9,Partial,1,Engaged Within 3 Days
C0298,Completed,0,0,1,0,78.6,Yes,1,Engaged Within 3 Days
C0299,Completed,1,1,1,0,78.6,Yes,1,Engaged Within 3 Days
C0300,Quit,5,5,0,1,14.3,No,0,Did Not Engage Within 3 Days
C0301,Completed,0,0,1,0,78.6,Yes,1,Engaged Within 3 Days
C0302,Completed,1,1,1,0,100.0,Partial,1,Engaged Within 3 Days
C0303,Completed,0,0,1,0,100.0,Yes,1,Engaged Within 3 Days
C0304,Completed,0,0,1,0,85.7,Yes,1,Engaged Within 3 Days
C0305,Completed,2,2,1,0,92.9,Yes,1,Engaged Within 3 Days
C0306,Ghost,2,2,0,1,7.1,No,0,Engaged Within 3 Days
C0307,Completed,7,7,1,0,100.0,Partial,1,Did Not Engage Within 3 Days
C0308,Completed,3,3,1,0,78.6,Yes,1,Engaged Within 3 Days
C0309,Completed,0,0,1,0,85.7,Partial,1,Engaged Within 3 Days
C0310,Completed,2,2,1,0,92.9,Yes,1,Engaged Within 3 Days
C0311,Completed,5,5,1,0,92.9,Yes,1,Did Not Engage Within 3 Days
C0312,Ghost,1,1,0,1,0.0,No,0,Engaged Within 3 Days
C0313,Completed,0,0,1,0,92.9,Partial,1,Engaged Within 3 Days
C0314,Completed,1,1,1,0,85.7,Partial,1,Engaged Within 3 Days
C0315,Completed,0,0,1,0,78.6,Yes,1,Engaged Within 3 Days
C0316,Completed,0,0,1,0,85.7,Yes,1,Engaged Within 3 Days
C0317,Completed,2,2,1,0,85.7,Partial,1,Engaged Within 3 Days
C0318,Completed,1,1,1,0,92.9,Yes,1,Engaged Within 3 Days
C0319,Ghost,0,0,0,1,0.0,No,0,Engaged Within 3 Days
C0320,Inactive,3,3,0,1,28.6,Ongoing,0,Engaged Within 3 Days
C0321,Ghost,5,5,0,1,7.1,No,0,Did Not Engage Within 3 Days
C0322,Completed,1,1,1,0,78.6,Yes,1,Engaged Within 3 Days
C0323,Completed,0,0,1,0,78.6,Yes,1,Engaged Within 3 Days
C0324,Completed,1,1,1,0,85.7,Partial,1,Engaged Within 3 Days
C0325,Completed,2,2,1,0,92.9,Yes,1,Engaged Within 3 Days
C0326,Inactive,0,0,0,1,35.7,Ongoing,0,Engaged Within 3 Days
C0327,Completed,0,0,1,0,78.6,Yes,1,Engaged Within 3 Days
C0328,Completed,0,0,1,0,85.7,Partial,1,Engaged Within 3 Days
C0329,Inactive,0,0,0,1,21.4,Ongoing,0,Engaged Within 3 Days
C0330,Completed,0,0,1,0,85.7,Yes,1,Engaged Within 3 Days
C0331,Inactive,2,2,0,1,35.7,Ongoing,0,Engaged Within 3 Days
C0332,Completed,3,3,1,0,92.9,Partial,1,Engaged Within 3 Days
C0333,Completed,0,0,1,0,100.0,Yes,1,Engaged Within 3 Days
C0334,Inactive,0,0,0,1,35.7,Ongoing,0,Engaged Within 3 Days
C0335,Completed,1,1,1,0,78.6,Partial,1,Engaged Within 3 Days
C0336,Completed,3,3,1,0,92.9,Yes,1,Engaged Within 3 Days
C0337,Completed,0,0,1,0,92.9,Yes,1,Engaged Within 3 Days
C0338,Completed,7,7,1,0,92.9,Partial,1,Did Not Engage Within 3 Days
C0339,Completed,2,2,1,0,85.7,Yes,1,Engaged Within 3 Days
C0340,Completed,3,3,1,0,85.7,Yes,1,Engaged Within 3 Days
C0341,Completed,0,0,1,0,100.0,Yes,1,Engaged Within 3 Days
C0342,Completed,0,0,1,0,100.0,Yes,1,Engaged Within 3 Days
C0343,Completed,0,0,1,0,85.7,Partial,1,Engaged Within 3 Days
C0344,Completed,2,2,1,0,100.0,Yes,1,Engaged Within 3 Days
C0345,Completed,0,0,1,0,92.9,Yes,1,Engaged Within 3 Days
C0346,Quit,1,1,0,1,14.3,No,0,Engaged Within 3 Days
C0347,Completed,0,0,1,0,100.0,Yes,1,Engaged Within 3 Days
C0348,Completed,0,0,1,0,92.9,Partial,1,Engaged Within 3 Days
C0349,Inactive,1,1,0,1,21.4,Ongoing,0,Engaged Within 3 Days
C0350,Completed,1,1,1,0,78.6,Yes,1,Engaged Within 3 Days
C0351,Completed,1,1,1,0,78.6,Yes,1,Engaged Within 3 Days
C0352,Completed,1,1,1,0,92.9,Yes,1,Engaged Within 3 Days
C0353,Completed,0,0,1,0,85.7,Partial,1,Engaged Within 3 Days
C0354,Completed,3,3,1,0,85.7,Partial,1,Engaged Within 3 Days
C0355,Completed,2,2,1,0,100.0,Yes,1,Engaged Within 3 Days
C0356,Completed,2,2,1,0,100.0,Yes,1,Engaged Within 3 Days
