Client_ID,Age,Gender,Country,Goal_Type,Lead_Source,Goal_Achieved,Checkin_Rate_Pct,Progress_Photos_Shared,Second_Round,Referred_Someone,Goal_Achieved_Score,Checkin_Score,Progress_Photos_Score,Second_Round_Score,Referral_Score,Superfan_Score,Superfan_Score_Rounded,Superfan_Segment
C0085,50,Female,Australia,Weight Loss,TikTok,Partial,92.9,Yes,No,0,1,1.86,1,0,0,3.86,4,Neutral
C0086,26,Female,USA,Weight Loss,Referral,Yes,85.7,Yes,No,0,3,1.71,1,0,0,5.71,6,Happy
C0087,23,Female,Nepal,Weight Loss,TikTok,Partial,100.0,Yes,No,0,1,2.0,1,0,0,4.0,4,Neutral
C0088,40,Male,USA,Weight Loss,TikTok,Partial,100.0,No,No,0,1,2.0,0,0,0,3.0,3,Neutral
C0089,33,Female,USA,Weight Loss,TikTok,Yes,100.0,Yes,No,0,3,2.0,1,0,0,6.0,6,Happy
C0090,22,Female,UAE,Weight Gain,TikTok,Partial,85.7,No,No,1,1,1.71,0,0,2,4.71,5,Neutral
C0091,54,Male,UAE,Body Transformation,TikTok,Partial,100.0,Yes,No,0,1,2.0,1,0,0,4.0,4,Neutral
C0092,35,Female,Canada,Weight Loss,Referral,Partial,100.0,Yes,Yes,0,1,2.0,1,2,0,6.0,6,Happy
C0093,21,Male,USA,Body Transformation,Referral,Yes,100.0,No,No,0,3,2.0,0,0,0,5.0,5,Happy
C0094,29,Male,Australia,Weight Loss,Instagram,Yes,85.7,Yes,No,1,3,1.71,1,0,2,7.71,8,Happy
C0095,41,Female,Nepal,Weight Gain,Instagram,Yes,78.6,Yes,No,0,3,1.57,1,0,0,5.57,6,Happy
C0096,37,Male,Nepal,Weight Loss,Instagram,Yes,92.9,No,No,0,3,1.86,0,0,0,4.86,5,Neutral
C0097,34,Male,UAE,Weight Loss,Referral,Yes,92.9,Yes,No,1,3,1.86,1,0,2,7.86,8,Happy
C0098,27,Female,USA,Weight Loss,Referral,Yes,100.0,Yes,Yes,0,3,2.0,1,2,0,8.0,8,Superfan
C0099,48,Female,USA,Body Transformation,Referral,Partial,92.9,Yes,Yes,1,1,1.86,1,2,2,7.86,8,Happy
C0100,37,Male,USA,Body Transformation,TikTok,Partial,100.0,Yes,No,0,1,2.0,1,0,0,4.0,4,Neutral
C0101,27,Female,Australia,Body Transformation,Referral,Partial,92.9,Yes,No,0,1,1.86,1,0,0,3.86,4,Neutral
C0102,33,Male,Australia,Weight Gain,TikTok,Partial,92.9,Yes,No,0,1,1.86,1,0,0,3.86,4,Neutral
C0103,18,Female,USA,Weight Gain,Referral,No,14.3,No,No,0,0,0.29,0,0,0,0.29,0,At Risk
C0104,49,Female,UAE,Weight Gain,Referral,Yes,100.0,Yes,No,0,3,2.0,1,0,0,6.0,6,Happy
C0105,48,Male,Australia,Body Transformation,TikTok,Yes,100.0,Yes,No,0,3,2.0,1,0,0,6.0,6,Happy
C0106,36,Female,Australia,Weight Gain,Referral,Yes,92.9,Yes,No,0,3,1.86,1,0,0,5.86,6,Happy
C0107,25,Female,USA,Weight Loss,Other,Yes,92.9,No,No,0,3,1.86,0,0,0,4.86,5,Neutral
C0108,39,Female,USA,Weight Gain,TikTok,Yes,92.9,Yes,No,0,3,1.86,1,0,0,5.86,6,Happy
C0109,18,Male,Canada,Weight Loss,Other,Yes,85.7,No,No,1,3,1.71,0,0,2,6.71,7,Happy
C0110,41,Female,Nepal,Weight Loss,Instagram,Partial,92.9,Yes,No,1,1,1.86,1,0,2,5.86,6,Happy
C0111,33,Female,Nepal,Weight Loss,TikTok,Yes,85.7,Yes,No,0,3,1.71,1,0,0,5.71,6,Happy
C0112,43,Female,Australia,Weight Gain,Other,Yes,92.9,Yes,No,0,3,1.86,1,0,0,5.86,6,Happy
C0113,28,Female,Other,Body Transformation,TikTok,Partial,78.6,Yes,No,0,1,1.57,1,0,0,3.57,4,Neutral
C0114,19,Female,Australia,Weight Loss,Referral,No,7.1,No,Yes,0,0,0.14,0,2,0,2.14,2,At Risk
C0115,28,Female,UAE,Weight Loss,Instagram,Partial,85.7,Yes,No,1,1,1.71,1,0,2,5.71,6,Happy
C0116,46,Female,USA,Body Transformation,TikTok,Ongoing,21.4,No,No,1,0,0.43,0,0,2,2.43,2,At Risk
C0117,47,Female,Nepal,Weight Loss,Referral,Partial,92.9,Yes,Yes,0,1,1.86,1,2,0,5.86,6,Happy
C0118,23,Female,Australia,Weight Loss,TikTok,Partial,78.6,Yes,No,0,1,1.57,1,0,0,3.57,4,Neutral
C0119,53,Female,Nepal,Weight Loss,Referral,Partial,92.9,Yes,Yes,1,1,1.86,1,2,2,7.86,8,Happy
C0120,19,Female,Australia,Weight Loss,Referral,Yes,78.6,No,Yes,0,3,1.57,0,2,0,6.57,7,Happy
C0121,37,Female,USA,Weight Loss,TikTok,Yes,92.9,Yes,No,1,3,1.86,1,0,2,7.86,8,Happy
C0122,33,Female,Australia,Weight Gain,Referral,No,7.1,No,No,0,0,0.14,0,0,0,0.14,0,At Risk
C0123,53,Female,UAE,Weight Loss,TikTok,No,0.0,No,Yes,0,0,0.0,0,2,0,2.0,2,At Risk
C0124,45,Female,Nepal,Weight Gain,Referral,Partial,85.7,Yes,No,0,1,1.71,1,0,0,3.71,4,Neutral
C0125,29,Female,Other,Weight Loss,TikTok,No,7.1,No,No,0,0,0.14,0,0,0,0.14,0,At Risk
C0126,26,Female,USA,Weight Loss,Referral,Yes,85.7,Yes,No,0,3,1.71,1,0,0,5.71,6,Happy
C0127,36,Female,Nepal,Weight Loss,TikTok,Partial,92.9,Yes,No,0,1,1.86,1,0,0,3.86,4,Neutral
C0128,23,Female,Australia,Weight Loss,TikTok,Partial,78.6,No,No,0,1,1.57,0,0,0,2.57,3,At Risk
C0129,39,Male,USA,Weight Gain,TikTok,Yes,100.0,No,No,1,3,2.0,0,0,2,7.0,7,Happy
C0130,22,Female,Australia,Body Transformation,Instagram,Yes,100.0,Yes,No,0,3,2.0,1,0,0,6.0,6,Happy
C0131,22,Female,Australia,Weight Loss,Instagram,Yes,92.9,Yes,No,0,3,1.86,1,0,0,5.86,6,Happy
C0132,51,Female,Nepal,Body Transformation,TikTok,Yes,100.0,Yes,No,0,3,2.0,1,0,0,6.0,6,Happy
C0133,36,Male,Nepal,Body Transformation,Instagram,Yes,100.0,Yes,No,0,3,2.0,1,0,0,6.0,6,Happy
C0134,20,Female,Australia,Weight Loss,TikTok,Yes,85.7,Yes,No,0,3,1.71,1,0,0,5.71,6,Happy
C0135,27,Female,UAE,Body Transformation,TikTok,Partial,100.0,No,No,0,1,2.0,0,0,0,3.0,3,Neutral
C0136,29,Female,USA,Body Transformation,TikTok,No,7.1,No,No,1,0,0.14,0,0,2,2.14,2,At Risk
C0137,29,Female,Australia,Weight Loss,Referral,Ongoing,21.4,No,No,0,0,0.43,0,0,0,0.43,0,At Risk
C0138,35,Female,USA,Body Transformation,TikTok,Yes,85.7,Yes,No,1,3,1.71,1,0,2,7.71,8,Happy
C0139,27,Female,Nepal,Body Transformation,Other,Yes,92.9,Yes,No,0,3,1.86,1,0,0,5.86,6,Happy
C0140,58,Female,Australia,Weight Loss,TikTok,Partial,85.7,Yes,No,1,1,1.71,1,0,2,5.71,6,Happy
C0141,38,Female,Australia,Weight Gain,TikTok,Yes,92.9,Yes,No,0,3,1.86,1,0,0,5.86,6,Happy
C0142,25,Male,Australia,Weight Loss,TikTok,Yes,78.6,Yes,No,0,3,1.57,1,0,0,5.57,6,Happy
C0143,43,Female,Canada,Weight Loss,TikTok,Yes,78.6,Yes,No,0,3,1.57,1,0,0,5.57,6,Happy
C0144,30,Female,Nepal,Body Transformation,Referral,Yes,85.7,No,No,0,3,1.71,0,0,0,4.71,5,Neutral
C0145,55,Female,Nepal,Body Transformation,TikTok,Yes,85.7,Yes,No,0,3,1.71,1,0,0,5.71,6,Happy
C0146,31,Female,UAE,Weight Loss,Referral,Partial,78.6,Yes,Yes,0,1,1.57,1,2,0,5.57,6,Happy
C0147,21,Male,USA,Weight Loss,TikTok,Yes,92.9,Yes,No,0,3,1.86,1,0,0,5.86,6,Happy
C0148,33,Male,Australia,Body Transformation,Referral,Partial,92.9,Yes,No,0,1,1.86,1,0,0,3.86,4,Neutral
C0149,32,Female,Australia,Weight Gain,TikTok,Yes,78.6,Yes,No,1,3,1.57,1,0,2,7.57,8,Happy
C0150,28,Male,Australia,Weight Loss,TikTok,Yes,100.0,Yes,No,0,3,2.0,1,0,0,6.0,6,Happy
C0151,29,Female,Australia,Weight Loss,TikTok,Yes,85.7,Yes,No,0,3,1.71,1,0,0,5.71,6,Happy
C0152,44,Female,Australia,Weight Gain,TikTok,Partial,85.7,No,No,0,1,1.71,0,0,0,2.71,3,At Risk
C0153,45,Female,USA,Body Transformation,Instagram,Partial,92.9,Yes,No,0,1,1.86,1,0,0,3.86,4,Neutral
C0154,19,Female,Australia,Weight Loss,Referral,Partial,92.9,Yes,No,0,1,1.86,1,0,0,3.86,4,Neutral
C0155,53,Female,Australia,Weight Loss,Referral,Yes,85.7,Yes,No,0,3,1.71,1,0,0,5.71,6,Happy
C0156,41,Female,USA,Weight Gain,Referral,Yes,92.9,Yes,Yes,1,3,1.86,1,2,2,9.86,10,Superfan
C0157,55,Female,Australia,Weight Loss,TikTok,Yes,100.0,Yes,No,0,3,2.0,1,0,0,6.0,6,Happy
C0158,18,Male,Australia,Body Transformation,Instagram,Partial,92.9,Yes,No,0,1,1.86,1,0,0,3.86,4,Neutral
C0159,56,Female,USA,Body Transformation,Referral,Ongoing,21.4,No,No,0,0,0.43,0,0,0,0.43,0,At Risk
C0160,37,Female,Nepal,Weight Loss,TikTok,Yes,92.9,Yes,No,0,3,1.86,1,0,0,5.86,6,Happy
C0161,43,Male,Australia,Weight Gain,Referral,Yes,100.0,Yes,No,0,3,2.0,1,0,0,6.0,6,Happy
C0162,25,Female,Nepal,Body Transformation,TikTok,Partial,78.6,Yes,No,0,1,1.57,1,0,0,3.57,4,Neutral
C0163,37,Female,USA,Weight Loss,Referral,Yes,100.0,Yes,No,0,3,2.0,1,0,0,6.0,6,Happy
C0164,29,Male,USA,Weight Loss,TikTok,Yes,78.6,No,No,1,3,1.57,0,0,2,6.57,7,Happy
C0165,27,Male,Nepal,Weight Gain,Referral,Yes,100.0,Yes,No,1,3,2.0,1,0,2,8.0,8,Superfan
C0166,26,Male,Australia,Body Transformation,Referral,Partial,100.0,No,No,0,1,2.0,0,0,0,3.0,3,Neutral
C0167,32,Male,Australia,Weight Loss,TikTok,Partial,85.7,Yes,No,1,1,1.71,1,0,2,5.71,6,Happy
C0168,43,Male,USA,Weight Loss,TikTok,Ongoing,21.4,Yes,No,0,0,0.43,1,0,0,1.43,1,At Risk
C0169,38,Male,Nepal,Weight Loss,TikTok,Partial,78.6,No,No,0,1,1.57,0,0,0,2.57,3,At Risk
C0170,36,Female,Australia,Weight Loss,TikTok,Ongoing,14.3,No,No,1,0,0.29,0,0,2,2.29,2,At Risk
C0171,46,Male,USA,Weight Loss,TikTok,Ongoing,21.4,No,No,0,0,0.43,0,0,0,0.43,0,At Risk
C0172,20,Male,Australia,Body Transformation,TikTok,Ongoing,35.7,No,No,0,0,0.71,0,0,0,0.71,1,At Risk
C0173,35,Male,Canada,Weight Loss,TikTok,Partial,85.7,Yes,No,0,1,1.71,1,0,0,3.71,4,Neutral
C0174,34,Male,Nepal,Weight Gain,TikTok,Yes,100.0,No,No,0,3,2.0,0,0,0,5.0,5,Happy
C0175,32,Female,USA,Weight Loss,Referral,Yes,85.7,No,No,0,3,1.71,0,0,0,4.71,5,Neutral
C0176,47,Male,Nepal,Weight Loss,Referral,Partial,100.0,Yes,No,1,1,2.0,1,0,2,6.0,6,Happy
C0177,40,Male,Australia,Weight Loss,Instagram,Ongoing,14.3,No,No,0,0,0.29,0,0,0,0.29,0,At Risk
C0178,25,Male,Nepal,Weight Loss,TikTok,No,7.1,No,Yes,0,0,0.14,0,2,0,2.14,2,At Risk
C0179,55,Female,Nepal,Weight Gain,Instagram,Yes,85.7,Yes,No,0,3,1.71,1,0,0,5.71,6,Happy
C0180,18,Female,USA,Weight Gain,TikTok,Partial,100.0,Yes,No,1,1,2.0,1,0,2,6.0,6,Happy
C0181,33,Female,Australia,Weight Loss,TikTok,Yes,92.9,Yes,No,0,3,1.86,1,0,0,5.86,6,Happy
C0182,26,Female,Australia,Weight Loss,Other,Yes,85.7,Yes,No,1,3,1.71,1,0,2,7.71,8,Happy
C0183,37,Female,Australia,Weight Gain,TikTok,No,7.1,No,Yes,1,0,0.14,0,2,2,4.14,4,Neutral
C0184,27,Female,Nepal,Weight Loss,Other,Partial,85.7,Yes,No,0,1,1.71,1,0,0,3.71,4,Neutral
C0185,19,Female,UAE,Body Transformation,Referral,Ongoing,21.4,No,No,0,0,0.43,0,0,0,0.43,0,At Risk
C0186,36,Female,UAE,Body Transformation,TikTok,Yes,100.0,Yes,No,0,3,2.0,1,0,0,6.0,6,Happy
C0187,25,Female,Other,Body Transformation,TikTok,Yes,92.9,Yes,No,0,3,1.86,1,0,0,5.86,6,Happy
C0188,36,Female,Australia,Weight Loss,Other,Yes,92.9,Yes,No,0,3,1.86,1,0,0,5.86,6,Happy
C0189,59,Female,Australia,Weight Loss,TikTok,Ongoing,14.3,No,No,0,0,0.29,0,0,0,0.29,0,At Risk
C0190,53,Female,Australia,Body Transformation,TikTok,No,0.0,Yes,No,0,0,0.0,1,0,0,1.0,1,At Risk
C0191,36,Female,Australia,Weight Loss,TikTok,Yes,92.9,Yes,No,0,3,1.86,1,0,0,5.86,6,Happy
C0192,22,Female,USA,Weight Gain,Referral,Partial,85.7,Yes,No,0,1,1.71,1,0,0,3.71,4,Neutral
C0193,25,Female,USA,Weight Gain,TikTok,Yes,78.6,No,No,0,3,1.57,0,0,0,4.57,5,Neutral
C0194,30,Female,USA,Weight Gain,TikTok,Partial,100.0,No,No,1,1,2.0,0,0,2,5.0,5,Happy
C0195,31,Female,Nepal,Body Transformation,TikTok,Partial,92.9,Yes,No,0,1,1.86,1,0,0,3.86,4,Neutral
C0196,34,Female,Other,Weight Loss,Other,Yes,100.0,Yes,No,0,3,2.0,1,0,0,6.0,6,Happy
C0197,18,Female,USA,Body Transformation,TikTok,Yes,78.6,Yes,No,0,3,1.57,1,0,0,5.57,6,Happy
C0198,25,Female,Australia,Body Transformation,Referral,Yes,92.9,Yes,Yes,0,3,1.86,1,2,0,7.86,8,Happy
C0199,27,Female,Nepal,Weight Loss,TikTok,Ongoing,21.4,No,No,0,0,0.43,0,0,0,0.43,0,At Risk
C0200,25,Female,Other,Weight Loss,TikTok,Yes,100.0,Yes,No,1,3,2.0,1,0,2,8.0,8,Superfan
C0201,40,Female,USA,Weight Gain,Instagram,Partial,85.7,Yes,No,0,1,1.71,1,0,0,3.71,4,Neutral
C0202,43,Male,Nepal,Body Transformation,Referral,Partial,92.9,Yes,Yes,1,1,1.86,1,2,2,7.86,8,Happy
C0203,32,Female,USA,Weight Loss,TikTok,Partial,92.9,Yes,No,0,1,1.86,1,0,0,3.86,4,Neutral
C0204,35,Female,USA,Body Transformation,Other,Partial,78.6,No,No,0,1,1.57,0,0,0,2.57,3,At Risk
C0205,29,Male,Australia,Weight Loss,Referral,Ongoing,28.6,No,No,1,0,0.57,0,0,2,2.57,3,At Risk
C0206,52,Female,USA,Body Transformation,Referral,Yes,92.9,Yes,No,0,3,1.86,1,0,0,5.86,6,Happy
C0207,44,Male,Australia,Weight Loss,Referral,Yes,92.9,Yes,No,0,3,1.86,1,0,0,5.86,6,Happy
C0208,31,Female,Other,Weight Loss,Referral,Yes,100.0,Yes,Yes,0,3,2.0,1,2,0,8.0,8,Superfan
C0209,25,Female,Australia,Body Transformation,Referral,Yes,78.6,Yes,Yes,0,3,1.57,1,2,0,7.57,8,Happy
C0210,41,Male,Australia,Weight Loss,Instagram,No,7.1,No,Yes,0,0,0.14,0,2,0,2.14,2,At Risk
C0211,46,Male,Nepal,Body Transformation,Other,Yes,92.9,Yes,No,0,3,1.86,1,0,0,5.86,6,Happy
C0212,28,Female,USA,Body Transformation,TikTok,Ongoing,35.7,Yes,No,0,0,0.71,1,0,0,1.71,2,At Risk
C0213,33,Female,Canada,Weight Loss,TikTok,Yes,85.7,No,No,0,3,1.71,0,0,0,4.71,5,Neutral
C0214,32,Male,USA,Body Transformation,Referral,Partial,92.9,Yes,No,0,1,1.86,1,0,0,3.86,4,Neutral
C0215,35,Female,USA,Weight Loss,TikTok,Yes,100.0,Yes,No,1,3,2.0,1,0,2,8.0,8,Superfan
C0216,33,Female,UAE,Weight Loss,TikTok,Yes,100.0,Yes,No,0,3,2.0,1,0,0,6.0,6,Happy
C0217,55,Female,USA,Body Transformation,TikTok,Yes,85.7,Yes,No,0,3,1.71,1,0,0,5.71,6,Happy
C0218,30,Male,USA,Weight Loss,TikTok,Partial,100.0,No,No,0,1,2.0,0,0,0,3.0,3,Neutral
C0219,52,Female,Australia,Weight Loss,TikTok,Yes,78.6,Yes,No,0,3,1.57,1,0,0,5.57,6,Happy
